shareholders,t,T,encrypt_runtime,partial_runtime,recon_runtime,decrypt_runtime
3,50,150,,0.0016150474548339844,0.0007255077362060547,0.00014519691467285156
4,50,150,,0.0024671554565429688,0.001344919204711914,0.00018548965454101562
5,50,150,,0.002556324005126953,0.0009312629699707031,0.00011301040649414062
6,50,150,,0.003162384033203125,0.0007848739624023438,0.00010013580322265625
7,50,150,,0.0038995742797851562,0.0010955333709716797,0.00018548965454101562
8,50,150,,0.004488468170166016,0.0013201236724853516,0.00013780593872070312
9,50,150,,0.004401445388793945,0.0017206668853759766,0.00016117095947265625
10,50,150,,0.005466461181640625,0.0012955665588378906,0.00011038780212402344
11,50,150,,0.005526065826416016,0.0018246173858642578,0.0001049041748046875
12,50,150,,0.006852149963378906,0.001909494400024414,0.0001125335693359375
13,50,150,,0.006993293762207031,0.0015716552734375,9.5367431640625e-05
14,50,150,,0.00821995735168457,0.0017309188842773438,0.00010371208190917969
15,50,150,,0.008736610412597656,0.0016083717346191406,0.0001246929168701172
16,50,150,,0.009214401245117188,0.001983642578125,0.00010061264038085938
17,50,150,,0.010436058044433594,0.0017290115356445312,0.00010013580322265625
18,50,150,,0.01130223274230957,0.002802133560180664,0.00010657310485839844
19,50,150,,0.01324915885925293,0.001997709274291992,0.00010371208190917969
20,50,150,,0.013422012329101562,0.002725362777709961,0.00010466575622558594
21,50,150,,0.014911890029907227,0.0025539398193359375,0.00011086463928222656
22,50,150,,0.016393423080444336,0.002288341522216797,0.00010371208190917969
23,50,150,,0.017769575119018555,0.003119230270385742,9.989738464355469e-05
24,50,150,,0.019382715225219727,0.003126859664916992,0.0001552104949951172
25,50,150,,0.020769596099853516,0.003796815872192383,0.00011491775512695312
26,50,150,,0.022120952606201172,0.004029512405395508,0.0001308917999267578
27,50,150,,0.023963212966918945,0.0029022693634033203,0.00010323524475097656
28,50,150,,0.027597665786743164,0.003342866897583008,0.00010800361633300781
29,50,150,,0.02857661247253418,0.0031952857971191406,0.00010538101196289062
30,50,150,,0.030549287796020508,0.003889322280883789,0.00010633468627929688
31,50,150,,0.03223466873168945,0.0042972564697265625,0.00010395050048828125
32,50,150,,0.034346580505371094,0.0044476985931396484,0.00011014938354492188
33,50,150,,0.03670835494995117,0.00474095344543457,0.00010538101196289062
34,50,150,,0.03920435905456543,0.004786968231201172,0.00016617774963378906
35,50,150,,0.041374921798706055,0.004449367523193359,0.0001125335693359375
36,50,150,,0.04676508903503418,0.005101680755615234,0.00020432472229003906
37,50,150,,0.04649472236633301,0.005685091018676758,0.0001125335693359375
38,50,150,,0.04974985122680664,0.004888772964477539,0.00010728836059570312
39,50,150,,0.057602643966674805,0.006325483322143555,0.00011467933654785156
40,50,150,,0.05818939208984375,0.006616353988647461,0.00011277198791503906
41,50,150,,0.06157660484313965,0.006529331207275391,0.00010824203491210938
42,50,150,,0.06956148147583008,0.005743503570556641,0.00010848045349121094
43,50,150,,0.08839917182922363,0.007494449615478516,0.00011301040649414062
44,50,150,,0.07785367965698242,0.006844043731689453,0.0001277923583984375
45,50,150,,0.08170413970947266,0.006864786148071289,0.000110626220703125
46,50,150,,0.08685016632080078,0.0066149234771728516,0.00010895729064941406
47,50,150,,0.08852148056030273,0.006779670715332031,0.00010514259338378906
48,50,150,,0.08937525749206543,0.0063211917877197266,0.00010180473327636719
49,50,150,,0.09367728233337402,0.007122516632080078,0.00010371208190917969
50,50,150,,0.09326958656311035,0.007079124450683594,8.440017700195312e-05
51,50,150,,0.10262155532836914,0.006943941116333008,0.00010418891906738281
52,50,150,,0.1034703254699707,0.005452632904052734,8.344650268554688e-05
53,50,150,,0.11359667778015137,0.008413314819335938,0.00010442733764648438
54,50,150,,0.11863851547241211,0.007338285446166992,0.00010085105895996094
55,50,150,,0.12258553504943848,0.006835222244262695,0.00010466575622558594
56,50,150,,0.12654852867126465,0.007898330688476562,9.083747863769531e-05
57,50,150,,0.13300728797912598,0.008214950561523438,9.965896606445312e-05
58,50,150,,0.1424412727355957,0.008463382720947266,0.00011324882507324219
59,50,150,,0.15370988845825195,0.008885622024536133,0.00010704994201660156
60,50,150,,0.15941905975341797,0.008173942565917969,0.00010609626770019531
61,50,150,,0.16882634162902832,0.009036540985107422,0.00010204315185546875
62,50,150,,0.17873787879943848,0.009386062622070312,0.00010824203491210938
63,50,150,,0.1879258155822754,0.009126424789428711,0.00010561943054199219
64,50,150,,0.1958005428314209,0.010042428970336914,0.00010442733764648438
65,50,150,,0.20473003387451172,0.009692192077636719,0.00010585784912109375
66,50,150,,0.2152557373046875,0.00997018814086914,0.00010895729064941406
67,50,150,,0.2241039276123047,0.009137153625488281,0.00010514259338378906
68,50,150,,0.24011993408203125,0.01192021369934082,0.00012159347534179688
69,50,150,,0.24466681480407715,0.010367155075073242,0.00010061264038085938
70,50,150,,0.26177525520324707,0.010358095169067383,0.00010371208190917969
71,50,150,,0.2691214084625244,0.011354446411132812,0.0001125335693359375
72,50,150,,0.28808116912841797,0.012181520462036133,0.0001163482666015625
73,50,150,,0.29986071586608887,0.012469768524169922,0.00010442733764648438
74,50,150,,0.3144338130950928,0.011220216751098633,0.00010347366333007812
75,50,150,,0.3302273750305176,0.012737512588500977,0.00011014938354492188
76,50,150,,0.347304105758667,0.011361122131347656,0.00011157989501953125
77,50,150,,0.36230015754699707,0.012920141220092773,0.00011014938354492188
78,50,150,,0.37395715713500977,0.01267385482788086,0.00010704994201660156
79,50,150,,0.4034900665283203,0.013365983963012695,0.00010609626770019531
80,50,150,,0.4124457836151123,0.012377500534057617,0.00010943412780761719
81,50,150,,0.42395544052124023,0.014272451400756836,0.00010991096496582031
82,50,150,,0.44864439964294434,0.013480901718139648,0.00011038780212402344
83,50,150,,0.46096301078796387,0.013482332229614258,0.00010943412780761719
84,50,150,,0.4866631031036377,0.014329195022583008,0.0001163482666015625
85,50,150,,0.4972856044769287,0.015494346618652344,0.00010728836059570312
86,50,150,,0.5206754207611084,0.015629053115844727,0.000110626220703125
87,50,150,,0.5417048931121826,0.014586448669433594,0.00010991096496582031
88,50,150,,0.561225175857544,0.015568017959594727,0.00010848045349121094
89,50,150,,0.5775649547576904,0.016038894653320312,0.00010538101196289062
90,50,150,,0.6007654666900635,0.015966176986694336,0.00011324882507324219
91,50,150,,0.6231124401092529,0.015436887741088867,0.0001246929168701172
92,50,150,,0.6313328742980957,0.017598390579223633,0.00011086463928222656
93,50,150,,0.6929161548614502,0.01792764663696289,0.00011754035949707031
94,50,150,,0.6791915893554688,0.01866292953491211,0.00011157989501953125
95,50,150,,0.7366201877593994,0.018975019454956055,0.00011944770812988281
96,50,150,,0.7175018787384033,0.01639103889465332,0.00011324882507324219
97,50,150,,0.772212028503418,0.017658472061157227,0.0001068115234375
98,50,150,,0.8604545593261719,0.018443584442138672,0.000110626220703125
99,50,150,,0.8631579875946045,0.01755523681640625,0.00011372566223144531
