shareholders,t,T,setup_runtime,encrypt_runtime
3,50,150,0.03602457046508789,0.001859903335571289
4,50,150,0.08470869064331055,0.0006582736968994141
5,50,150,0.09009099006652832,0.0005061626434326172
6,50,150,0.10660576820373535,0.0004980564117431641
7,50,150,0.1157386302947998,0.0005340576171875
8,50,150,0.2372725009918213,0.0005812644958496094
9,50,150,0.20143771171569824,0.0005295276641845703
10,50,150,0.29523730278015137,0.0005371570587158203
11,50,150,0.17251896858215332,0.0005433559417724609
12,50,150,0.22322797775268555,0.0005273818969726562
13,50,150,0.2566053867340088,0.000545501708984375
14,50,150,0.23788189888000488,0.0006275177001953125
15,50,150,0.3117833137512207,0.0005090236663818359
16,50,150,0.33434033393859863,0.0005712509155273438
17,50,150,0.4403519630432129,0.0006136894226074219
18,50,150,0.26784634590148926,0.0005078315734863281
19,50,150,0.3629891872406006,0.0005884170532226562
20,50,150,0.3986051082611084,0.0005133152008056641
21,50,150,0.4920938014984131,0.0005395412445068359
22,50,150,0.5344483852386475,0.0005171298980712891
23,50,150,0.5891809463500977,0.000507354736328125
24,50,150,0.5102012157440186,0.0005347728729248047
25,50,150,0.63991379737854,0.00054168701171875
26,50,150,0.7198801040649414,0.0005817413330078125
27,50,150,0.6947758197784424,0.0005004405975341797
28,50,150,0.8965456485748291,0.0005307197570800781
29,50,150,0.8668992519378662,0.0005238056182861328
