shareholders,t,T,setup_runtime,encrypt_runtime
3,50,150,0.025595903396606445,0.0003085136413574219
4,50,150,0.03028392791748047,0.00031638145446777344
5,50,150,0.04620194435119629,0.00030541419982910156
6,50,150,0.03613162040710449,0.00030112266540527344
7,50,150,0.06117606163024902,0.0003256797790527344
8,50,150,0.06730961799621582,0.0003867149353027344
9,50,150,0.05336308479309082,0.0003037452697753906
10,50,150,0.07763147354125977,0.0003199577331542969
11,50,150,0.09101533889770508,0.0003113746643066406
12,50,150,0.09117817878723145,0.0003113746643066406
13,50,150,0.09681582450866699,0.0002982616424560547
14,50,150,0.11350035667419434,0.0002923011779785156
15,50,150,0.11203384399414062,0.00033211708068847656
16,50,150,0.10010862350463867,0.0003170967102050781
17,50,150,0.1619889736175537,0.0002994537353515625
18,50,150,0.14151334762573242,0.00031447410583496094
19,50,150,0.13161873817443848,0.0003333091735839844
20,50,150,0.1573476791381836,0.000316619873046875
21,50,150,0.163344144821167,0.0003170967102050781
22,50,150,0.1644747257232666,0.00031304359436035156
23,50,150,0.2024064064025879,0.0003025531768798828
24,50,150,0.16902995109558105,0.0003070831298828125
25,50,150,0.18508338928222656,0.00031495094299316406
26,50,150,0.20777368545532227,0.00031065940856933594
27,50,150,0.23686718940734863,0.00032401084899902344
28,50,150,0.22754764556884766,0.00030422210693359375
29,50,150,0.2224576473236084,0.00031304359436035156
