t,c,avg_prime_bits,total_prime_bits,runtime
0,2,200.0,1000,0.07378554344177246
1,2,200.0,1000,0.05604100227355957
2,2,200.0,1000,0.034069061279296875
3,2,200.0,1000,0.030452251434326172
4,2,200.0,1000,0.02704787254333496
5,2,200.0,1000,0.0271453857421875
6,2,200.0,1000,0.024240493774414062
7,2,200.0,1000,0.024607419967651367
8,2,200.0,1000,0.034182071685791016
9,2,200.0,1000,0.027698040008544922
10,2,200.0,1000,0.03370976448059082
11,2,200.0,1000,0.023834943771362305
12,2,200.0,1000,0.028389453887939453
13,2,200.0,1000,0.036258697509765625
14,2,200.0,1000,0.025237560272216797
15,2,200.0,1000,0.027872562408447266
16,2,200.0,1000,0.028464317321777344
17,2,200.0,1000,0.0233917236328125
18,2,200.0,1000,0.03202986717224121
19,2,200.0,1000,0.035486459732055664
20,2,200.0,1000,0.042115211486816406
21,2,200.0,1000,0.031694650650024414
22,2,200.0,1000,0.020631074905395508
23,2,200.0,1000,0.029341697692871094
24,2,200.0,1000,0.05040884017944336
25,2,200.0,1000,0.04481625556945801
26,2,200.0,1000,0.03189373016357422
27,2,200.0,1000,0.048433780670166016
28,2,200.0,1000,0.057732582092285156
29,2,200.0,1000,0.023106098175048828
30,2,200.0,1000,0.044920921325683594
31,2,200.0,1000,0.02499532699584961
32,2,200.0,1000,0.02628493309020996
33,2,200.0,1000,0.03413128852844238
34,2,200.0,1000,0.031210899353027344
35,2,200.0,1000,0.030541181564331055
36,2,200.0,1000,0.0309600830078125
37,2,200.0,1000,0.026806116104125977
38,2,200.0,1000,0.02524113655090332
39,2,200.0,1000,0.0420832633972168
40,2,200.0,1000,0.051692962646484375
41,2,200.0,1000,0.03901553153991699
42,2,200.0,1000,0.052269935607910156
43,2,200.0,1000,0.027697086334228516
44,3,300.0,1500,0.12849736213684082
45,3,300.0,1500,0.04891061782836914
46,3,300.0,1500,0.03797149658203125
47,3,300.0,1500,0.0875389575958252
48,3,300.0,1500,0.06379127502441406
49,3,300.0,1500,0.05701422691345215
50,3,300.0,1500,0.0638589859008789
51,3,300.0,1500,0.038281917572021484
52,3,300.0,1500,0.04094243049621582
53,3,300.0,1500,0.03296089172363281
54,3,300.0,1500,0.035341739654541016
55,3,300.0,1500,0.060648441314697266
56,3,300.0,1500,0.04463768005371094
57,3,300.0,1500,0.09799313545227051
58,3,300.0,1500,0.04014706611633301
59,3,300.0,1500,0.04650378227233887
60,3,300.0,1500,0.11159682273864746
61,3,300.0,1500,0.09454011917114258
62,3,300.0,1500,0.03505992889404297
63,3,300.0,1500,0.057784318923950195
64,3,300.0,1500,0.09504032135009766
65,3,300.0,1500,0.06370973587036133
66,3,300.0,1500,0.05377554893493652
67,3,300.0,1500,0.049942970275878906
68,3,300.0,1500,0.07066488265991211
69,3,300.0,1500,0.07174038887023926
70,3,300.0,1500,0.08365321159362793
71,3,300.0,1500,0.060292959213256836
72,3,300.0,1500,0.08037590980529785
73,3,300.0,1500,0.05803847312927246
74,3,300.0,1500,0.06216168403625488
75,3,300.0,1500,0.08965921401977539
76,3,300.0,1500,0.08575606346130371
77,3,300.0,1500,0.07125616073608398
78,3,300.0,1500,0.1100606918334961
79,3,300.0,1500,0.03422141075134277
80,3,300.0,1500,0.09397411346435547
81,3,300.0,1500,0.0438690185546875
82,3,300.0,1500,0.09804296493530273
83,3,300.0,1500,0.05552959442138672
84,3,300.0,1500,0.052317142486572266
85,3,300.0,1500,0.04027605056762695
86,3,300.0,1500,0.0856771469116211
87,3,300.0,1500,0.0568850040435791
88,3,300.0,1500,0.0498661994934082
89,3,300.0,1500,0.0507359504699707
90,3,300.0,1500,0.056496381759643555
91,3,300.0,1500,0.0562741756439209
92,3,300.0,1500,0.054683685302734375
93,3,300.0,1500,0.06096172332763672
94,3,300.0,1500,0.03692483901977539
95,3,300.0,1500,0.06723427772521973
96,3,300.0,1500,0.06438541412353516
97,3,300.0,1500,0.04438614845275879
98,3,300.0,1500,0.05352187156677246
99,3,300.0,1500,0.06854128837585449
100,3,300.0,1500,0.07551217079162598
101,3,300.0,1500,0.05810141563415527
102,3,300.0,1500,0.0879814624786377
103,3,300.0,1500,0.06670165061950684
104,3,300.0,1500,0.0661616325378418
105,3,300.0,1500,0.043306827545166016
106,3,300.0,1500,0.05902838706970215
107,3,300.0,1500,0.0556643009185791
108,3,300.0,1500,0.04777193069458008
109,3,300.0,1500,0.1109919548034668
110,3,300.0,1500,0.06373143196105957
111,3,300.0,1500,0.0672297477722168
112,3,300.0,1500,0.05854511260986328
113,3,300.0,1500,0.08258867263793945
114,3,300.0,1500,0.06096959114074707
115,3,300.0,1500,0.044245243072509766
116,3,300.0,1500,0.07904863357543945
117,3,300.0,1500,0.05078244209289551
118,3,300.0,1500,0.05710792541503906
119,3,300.0,1500,0.04079771041870117
120,3,300.0,1500,0.060179710388183594
121,3,300.0,1500,0.05027270317077637
122,3,300.0,1500,0.09898257255554199
123,3,300.0,1500,0.041146278381347656
124,3,300.0,1500,0.062428951263427734
125,3,300.0,1500,0.030958175659179688
126,3,300.0,1500,0.07795071601867676
