t,c,avg_prime_bits,total_prime_bits,runtime
0,1,100.0,500,0.029731273651123047
1,1,100.0,500,0.02280592918395996
2,1,100.0,500,0.034233808517456055
3,1,100.0,500,0.04539632797241211
4,1,100.0,500,0.04093575477600098
5,1,100.0,500,0.03773212432861328
6,1,100.0,500,0.033772945404052734
7,1,100.0,500,0.023637771606445312
8,1,100.0,500,0.038645267486572266
9,1,100.0,500,0.04285073280334473
10,1,100.0,500,0.02408123016357422
11,1,100.0,500,0.0261232852935791
12,1,100.0,500,0.028744935989379883
13,1,100.0,500,0.038759469985961914
14,1,100.0,500,0.027218341827392578
15,1,100.0,500,0.027753591537475586
16,1,100.0,500,0.02966618537902832
17,1,100.0,500,0.034757137298583984
18,1,100.0,500,0.025138378143310547
19,1,100.0,500,0.024713516235351562
20,1,100.0,500,0.02913951873779297
21,1,100.0,500,0.02906203269958496
22,1,100.0,500,0.030076980590820312
23,1,100.0,500,0.03104877471923828
24,1,100.0,500,0.03174901008605957
25,1,100.0,500,0.026293039321899414
26,1,100.0,500,0.022821903228759766
27,1,100.0,500,0.03982877731323242
28,1,100.0,500,0.023062467575073242
29,1,100.0,500,0.031192302703857422
30,1,100.0,500,0.03157973289489746
31,1,100.0,500,0.02744293212890625
32,1,100.0,500,0.03297758102416992
33,1,100.0,500,0.03583049774169922
34,1,100.0,500,0.036278486251831055
35,1,100.0,500,0.032808542251586914
36,1,100.0,500,0.03903532028198242
37,1,100.0,500,0.02946162223815918
38,1,100.0,500,0.025893688201904297
39,1,100.0,500,0.038977622985839844
40,1,100.0,500,0.05139470100402832
41,1,100.0,500,0.03577089309692383
42,1,100.0,500,0.03118586540222168
43,1,100.0,500,0.019445180892944336
44,2,200.0,1000,0.07457947731018066
45,2,200.0,1000,0.053724050521850586
46,2,200.0,1000,0.05520892143249512
47,2,200.0,1000,0.07037973403930664
48,2,200.0,1000,0.04392504692077637
49,2,200.0,1000,0.08202862739562988
50,2,200.0,1000,0.07210493087768555
51,2,200.0,1000,0.06643176078796387
52,2,200.0,1000,0.04952287673950195
53,2,200.0,1000,0.056484222412109375
54,2,200.0,1000,0.08093571662902832
55,2,200.0,1000,0.05506587028503418
56,2,200.0,1000,0.06679534912109375
57,2,200.0,1000,0.08419132232666016
58,2,200.0,1000,0.0697789192199707
59,2,200.0,1000,0.08186101913452148
60,2,200.0,1000,0.08947038650512695
61,2,200.0,1000,0.05350089073181152
62,2,200.0,1000,0.0813436508178711
63,2,200.0,1000,0.04038357734680176
64,2,200.0,1000,0.06042122840881348
65,2,200.0,1000,0.05089974403381348
66,2,200.0,1000,0.04591536521911621
67,2,200.0,1000,0.040060997009277344
68,2,200.0,1000,0.09912800788879395
69,2,200.0,1000,0.10074758529663086
70,2,200.0,1000,0.07360243797302246
71,2,200.0,1000,0.08966732025146484
72,2,200.0,1000,0.07273149490356445
73,2,200.0,1000,0.08629441261291504
74,2,200.0,1000,0.05201387405395508
75,2,200.0,1000,0.06589722633361816
76,2,200.0,1000,0.04414725303649902
77,2,200.0,1000,0.04181647300720215
78,2,200.0,1000,0.041146278381347656
79,2,200.0,1000,0.05104517936706543
80,2,200.0,1000,0.0583035945892334
81,2,200.0,1000,0.06213092803955078
82,2,200.0,1000,0.06287908554077148
83,2,200.0,1000,0.07756400108337402
84,2,200.0,1000,0.07588005065917969
85,2,200.0,1000,0.05180668830871582
86,2,200.0,1000,0.054486751556396484
87,2,200.0,1000,0.07915568351745605
88,2,200.0,1000,0.07716965675354004
89,2,200.0,1000,0.06566739082336426
90,2,200.0,1000,0.06115865707397461
91,2,200.0,1000,0.042568206787109375
92,2,200.0,1000,0.06701517105102539
93,2,200.0,1000,0.08889174461364746
94,2,200.0,1000,0.11608648300170898
95,2,200.0,1000,0.06572318077087402
96,2,200.0,1000,0.060590505599975586
97,2,200.0,1000,0.057463884353637695
98,2,200.0,1000,0.04382157325744629
99,2,200.0,1000,0.048516273498535156
